,,,
Year,hectares,tonnes,crop
2000,2595600,5032000,Barley
2001,3454000,6743500,Barley
2002,3707400,8279800,Barley
2003,3863800,3864800,Barley
2004,4477000,10381800,Barley
2005,4645700,7739800,Barley
2006,4405700,9481700,Barley
2007,4182000,4257000,Barley
2008,4901800,7160200,Barley
2009,5015000,7996500,Barley
2010,4421600,7864600,Barley
2011,3681000,7994700,Barley
2012,3718261,8220863,Barley
2013,3644368,7471592,Barley
2014,3814113,9174418,Barley
2015,4078041,8646321,Barley
2016,4107648,8992274,Barley
2017,4834102,13505990,Barley
2018,4124158,9253852,Barley
2019,4436588,8818946,Barley
2020,5040903,10127175,Barley
2021,5491009,14648581,Barley
2022,5094527,14377284,Barley
2000,82300,406000,Maize
2001,74200,344900,Maize
2002,82600,453900,Maize
2003,49600,310000,Maize
2004,70100,395000,Maize
2005,72400,419700,Maize
2006,67200,362000,Maize
2007,48900,239900,Maize
2009,64600,375700,Maize
2011,62200,356900,Maize
2012,69684,450535,Maize
2013,78634,506725,Maize
2014,52360,390364,Maize
2015,59558,494589,Maize
2016,53281,400032,Maize
2017,67771,436194,Maize
2018,52783,387240,Maize
2019,58949,327206,Maize
2020,37730,267552,Maize
2021,45742,305656,Maize
2000,583600,1117800,Oats
2001,650500,1049800,Oats
2002,784100,1433700,Oats
2003,911500,957100,Oats
2004,1089300,2018100,Oats
2005,893600,1282500,Oats
2006,930300,1688000,Oats
2007,1002700,748300,Oats
2008,1237800,1502300,Oats
2009,870300,1160000,Oats
2010,850100,1161600,Oats
2011,826000,1127700,Oats
2012,731144,1262032,Oats
2013,728575,1121135,Oats
2014,714699,1254659,Oats
2015,854417,1198006,Oats
2016,821498,1299680,Oats
2017,1027872,2265503,Oats
2018,874136,1227387,Oats
2019,938129,1134619,Oats
2020,815954,1142934,Oats
2021,1069891,1897990,Oats
2022,842394,1734874,Oats
2000,12167500,24757400,Wheat
2001,12141400,22108100,Wheat
2002,11529200,24299300,Wheat
2003,11170300,10131900,Wheat
2004,13067100,26131900,Wheat
2005,13399400,21905100,Wheat
2006,12442700,25150400,Wheat
2007,11797900,10821600,Wheat
2008,12578300,13569400,Wheat
2009,13530200,21420200,Wheat
2010,13881000,21834000,Wheat
2011,13501800,27410100,Wheat
2012,13902140,29905009,Wheat
2013,12979382,22855576,Wheat
2014,12613226,25303037,Wheat
2015,12383673,23742560,Wheat
2016,11282202,22274514,Wheat
2017,12191153,31818744,Wheat
2018,10919180,20941134,Wheat
2019,10402271,17597561,Wheat
2020,9863184,14480217,Wheat
2021,12643216,31922555,Wheat
2022,12728252,36237477,Wheat
2000,36800,1199600,Potatoes
2001,39600,1302100,Potatoes
2002,37900,1333200,Potatoes
2003,35900,1247300,Potatoes
2004,36100,1310400,Potatoes
2005,37400,1288300,Potatoes
2006,35300,1249600,Potatoes
2007,34100,1212000,Potatoes
2008,38200,1400200,Potatoes
2009,32600,1178500,Potatoes
2010,36400,1278100,Potatoes
2011,32200,1128200,Potatoes
2012,33670,1288186,Potatoes
2013,33034,1273243,Potatoes
2014,29505,1171259,Potatoes
2015,29414,1154503,Potatoes
2016,27968,1130175,Potatoes
2017,28372,1105194,Potatoes
2018,29740,1188655,Potatoes
2019,32413,1225274,Potatoes
2020,27057,1076780,Potatoes
2021,31426,1267639,Potatoes
2022,26381,1108930,Potatoes